date,month,happy,great,good,nice,wild,crazy,strange,weird,intense,vivid,lucid,sad,bad,scary,nightmare
2022-01-05,Jan-2022,0.0,0.36,0.20512820512820512,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.5147058823529411,0.0,0.39622641509433965,0.82,0.273972602739726
2022-01-12,Jan-2022,0.69,0.61,0.6410256410256411,0.71,0.0,0.0,0.0,0.54,0.0,0.9,0.3088235294117647,0.0,0.7924528301886793,0.0,0.3013698630136986
2022-01-19,Jan-2022,0.53,0.39,0.07692307692307693,0.0,0.51,0.0,0.0,0.51,0.0,0.84,0.27941176470588236,0.0,0.5094339622641509,0.0,0.7945205479452054
2022-01-26,Jan-2022,0.78,0.68,0.358974358974359,0.0,0.0,0.0,0.0,0.93,0.0,0.69,0.2647058823529412,0.0,0.660377358490566,0.0,1.0
2022-02-02,Feb-2022,0.56,0.34,0.4358974358974359,0.66,0.0,0.0,0.0,0.59,0.0,0.61,0.3382352941176471,0.58,0.9245283018867925,0.0,0.7397260273972602
2022-02-09,Feb-2022,0.66,0.53,0.38461538461538464,0.85,0.51,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.7924528301886793,0.0,0.5205479452054794
2022-02-16,Feb-2022,0.55,0.4,0.5897435897435898,0.52,0.0,0.0,1.0,0.0,1.0,0.66,0.16176470588235295,0.0,0.7735849056603774,0.0,0.410958904109589
2022-02-23,Feb-2022,0.69,0.36,0.358974358974359,0.57,0.39,0.0,0.39,0.0,0.0,0.7,0.20588235294117646,0.0,0.660377358490566,1.0,0.273972602739726
2022-03-02,Mar-2022,0.63,0.52,0.4358974358974359,0.0,0.52,0.58,0.0,0.43,0.0,0.0,0.3088235294117647,0.0,0.4339622641509434,0.0,0.1917808219178082
2022-03-09,Mar-2022,0.55,0.55,0.1794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.5,0.8113207547169812,0.0,0.1232876712328767
2022-03-16,Mar-2022,0.0,0.32,0.358974358974359,0.51,0.0,0.0,0.0,0.49,0.0,0.0,0.27941176470588236,0.0,0.5660377358490566,0.0,0.4657534246575342
2022-03-23,Mar-2022,0.0,0.37,0.0,0.55,0.0,0.0,0.39,0.36,0.0,0.0,0.16176470588235295,0.0,0.6037735849056604,0.81,0.3561643835616438
2022-03-30,Mar-2022,0.42,0.39,0.5384615384615384,0.0,0.45,0.0,0.0,0.53,0.0,0.0,0.35294117647058826,0.0,0.7358490566037735,0.53,0.2602739726027397
2022-04-06,Apr-2022,0.35,0.49,0.6666666666666666,0.9,0.58,0.0,0.0,0.0,0.0,0.44,0.7352941176470589,0.54,0.5471698113207547,0.54,0.2191780821917808
2022-04-13,Apr-2022,1.0,0.34,0.6410256410256411,0.65,0.64,0.0,0.55,0.5,0.0,0.0,0.5735294117647058,0.0,0.660377358490566,0.65,0.1917808219178082
2022-04-20,Apr-2022,0.57,0.29,0.6153846153846154,0.58,0.0,0.57,0.43,0.47,0.0,0.0,0.6176470588235294,0.0,0.7169811320754716,0.0,0.1643835616438356
2022-04-27,Apr-2022,0.61,0.53,0.0,0.0,0.0,0.42,0.46,0.0,0.0,0.0,1.0,0.0,0.7169811320754716,0.59,0.1232876712328767
2022-05-04,May-2022,0.59,0.48,0.6153846153846154,0.56,0.0,0.0,0.63,0.45,0.0,0.45,0.6764705882352942,0.0,0.6037735849056604,0.53,0.1643835616438356
2022-05-11,May-2022,0.0,0.46,0.5384615384615384,0.78,0.0,0.0,0.6,0.0,0.0,0.0,0.39705882352941174,0.0,0.7169811320754716,0.0,0.0821917808219178
2022-05-18,May-2022,0.95,0.42,0.46153846153846156,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.3088235294117647,0.0,0.22641509433962265,0.72,0.0821917808219178
2022-05-25,May-2022,0.45,0.44,0.46153846153846156,0.0,0.46,0.54,0.0,0.48,0.0,0.0,0.9117647058823529,0.0,0.6226415094339622,0.0,0.1095890410958904
2022-06-01,Jun-2022,0.0,0.38,0.0,1.0,0.41,0.61,0.55,0.46,0.0,0.0,0.5588235294117647,0.59,0.6792452830188679,0.0,0.1780821917808219
2022-06-08,Jun-2022,0.57,0.45,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.8235294117647058,0.0,0.4528301886792453,0.75,0.1232876712328767
2022-06-15,Jun-2022,0.65,0.42,0.38461538461538464,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.9558823529411765,0.0,0.5094339622641509,0.0,0.1095890410958904
2022-06-22,Jun-2022,0.58,0.28,0.7435897435897436,0.0,0.0,0.5,0.0,0.49,0.0,0.0,0.5735294117647058,0.0,0.7358490566037735,0.0,0.0273972602739726
2022-06-29,Jun-2022,0.47,0.34,0.5384615384615384,0.0,0.0,0.45,0.57,0.0,0.0,0.58,0.38235294117647056,0.0,0.8301886792452831,0.0,0.0410958904109589
2022-07-06,Jul-2022,0.6,0.44,0.23076923076923078,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.36764705882352944,0.0,0.39622641509433965,0.0,0.0684931506849315
2022-07-13,Jul-2022,0.43,0.49,0.358974358974359,0.0,0.48,0.0,0.88,0.0,0.0,0.0,0.5,0.0,0.24528301886792453,0.67,0.0136986301369863
2022-07-20,Jul-2022,0.63,0.31,0.8205128205128205,0.88,0.0,0.0,0.55,0.0,0.0,0.0,0.2647058823529412,0.0,0.7735849056603774,0.0,0.0684931506849315
2022-07-27,Jul-2022,0.43,0.24,0.6153846153846154,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.38235294117647056,0.0,0.0,0.0,0.0547945205479452
2022-08-03,Aug-2022,0.58,0.38,0.6923076923076923,0.62,0.0,0.0,0.0,0.0,0.0,0.52,0.4117647058823529,0.0,0.8867924528301887,0.0,0.0684931506849315
2022-08-10,Aug-2022,0.49,0.32,0.6666666666666666,0.0,0.0,0.0,0.0,0.43,0.0,0.53,0.22058823529411764,0.0,0.6037735849056604,0.0,0.0821917808219178
2022-08-17,Aug-2022,0.42,0.34,0.4358974358974359,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.35294117647058826,0.0,0.8301886792452831,0.0,0.1232876712328767
2022-08-24,Aug-2022,0.83,0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.29411764705882354,0.0,0.6226415094339622,0.0,0.1506849315068493
2022-08-31,Aug-2022,0.52,0.43,0.8974358974358975,0.61,0.0,0.0,0.0,0.56,0.0,0.0,0.16176470588235295,0.0,0.4339622641509434,0.7,0.1780821917808219
2022-09-07,Sep-2022,0.0,0.75,0.9743589743589743,0.6,0.54,0.0,0.0,0.39,0.0,0.0,0.14705882352941177,0.0,0.8113207547169812,0.0,0.1643835616438356
2022-09-14,Sep-2022,0.39,1.0,0.28205128205128205,0.0,0.41,0.0,0.0,0.44,0.0,0.0,0.3088235294117647,0.0,0.5471698113207547,0.8,0.1643835616438356
2022-09-21,Sep-2022,0.55,0.62,0.8717948717948718,0.0,0.42,1.0,0.0,0.48,0.0,0.0,0.1323529411764706,0.0,0.32075471698113206,0.0,0.2465753424657534
2022-09-28,Sep-2022,0.54,0.56,0.0,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.07352941176470588,0.69,0.39622641509433965,0.0,0.3287671232876712
2022-10-05,Oct-2022,0.84,0.71,0.717948717948718,0.7,0.92,0.0,0.0,0.0,0.0,0.0,0.22058823529411764,0.0,0.8867924528301887,0.0,0.5068493150684932
2022-10-12,Oct-2022,0.57,0.49,0.05128205128205128,0.0,0.41,0.0,0.0,0.53,0.0,0.63,0.1323529411764706,0.0,0.5094339622641509,0.0,0.4657534246575342
2022-10-19,Oct-2022,0.43,0.49,0.5384615384615384,0.56,0.4,0.0,0.53,0.0,0.0,0.0,0.04411764705882353,0.0,0.660377358490566,0.68,0.6027397260273972
2022-10-26,Oct-2022,0.65,0.0,0.41025641025641024,0.63,0.0,0.48,0.0,0.0,0.0,0.51,0.08823529411764706,0.0,0.6981132075471698,0.0,0.7534246575342466
2022-11-02,Nov-2022,0.0,0.42,0.5384615384615384,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.04411764705882353,0.0,0.4716981132075472,0.65,0.726027397260274
2022-11-09,Nov-2022,0.37,0.58,0.28205128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.37735849056603776,0.0,0.2465753424657534
2022-11-16,Nov-2022,0.76,0.31,0.5641025641025641,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.5094339622641509,0.0,0.2054794520547945
2022-11-23,Nov-2022,0.6,0.49,0.5897435897435898,0.0,0.39,0.53,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.24528301886792453,0.0,0.2054794520547945
2022-11-30,Nov-2022,0.64,0.34,0.28205128205128205,0.0,0.51,0.0,0.0,0.49,0.0,0.53,0.058823529411764705,1.0,0.32075471698113206,0.0,0.2876712328767123
2022-12-07,Dec-2022,0.46,0.44,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.1509433962264151,0.0,0.3698630136986301
2022-12-14,Dec-2022,0.0,0.36,0.6410256410256411,0.0,0.0,0.58,0.0,0.0,0.0,0.52,0.2647058823529412,0.56,0.4339622641509434,0.0,0.3561643835616438
2022-12-21,Dec-2022,0.61,0.31,0.48717948717948717,0.0,0.47,0.0,0.48,0.0,0.0,0.0,0.22058823529411764,0.0,0.16981132075471697,0.84,0.4383561643835616
2022-12-28,Dec-2022,1.0,0.28,0.717948717948718,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.14705882352941177,0.0,0.5283018867924528,0.0,0.273972602739726
2023-01-04,Jan-2023,0.97,0.45,0.1794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.14705882352941177,0.0,0.5660377358490566,0.0,0.0410958904109589
2023-01-11,Jan-2023,0.83,0.55,0.20512820512820512,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.08823529411764706,0.0,0.7547169811320755,0.0,0.0410958904109589
2023-01-18,Jan-2023,0.79,0.51,0.7692307692307693,0.0,0.5,0.59,0.0,0.0,0.0,0.0,0.07352941176470588,0.0,0.39622641509433965,0.0,0.0273972602739726
2023-01-25,Jan-2023,0.77,0.39,0.48717948717948717,0.0,0.45,0.0,0.0,0.44,0.0,0.55,0.058823529411764705,0.0,0.2641509433962264,0.0,0.0410958904109589
2023-02-01,Feb-2023,0.66,0.49,0.41025641025641024,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.5094339622641509,0.0,0.0273972602739726
2023-02-08,Feb-2023,0.6,0.5,0.717948717948718,0.57,0.48,0.0,0.0,0.0,0.0,0.6,0.4411764705882353,0.0,0.5660377358490566,0.0,0.0547945205479452
2023-02-15,Feb-2023,0.62,0.49,0.9743589743589743,0.0,0.42,0.0,0.0,0.43,0.0,0.0,0.20588235294117646,0.0,0.5283018867924528,0.0,0.0410958904109589
2023-02-22,Feb-2023,0.6,0.54,0.6410256410256411,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.5147058823529411,0.0,0.6415094339622641,0.0,0.0547945205479452
2023-03-01,Mar-2023,0.69,0.36,0.6923076923076923,0.67,0.65,0.41,0.45,1.0,0.0,1.0,0.4852941176470588,0.0,0.11320754716981132,0.67,0.0136986301369863
2023-03-08,Mar-2023,0.54,0.37,0.4358974358974359,0.0,0.0,0.0,0.53,0.0,0.0,0.64,0.08823529411764706,0.0,0.5849056603773585,0.0,0.0410958904109589
2023-03-15,Mar-2023,0.42,0.36,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647058823529412,0.0,0.5849056603773585,0.0,0.0136986301369863
2023-03-22,Mar-2023,0.64,0.49,0.8461538461538461,0.6,0.52,0.45,0.0,0.41,0.78,0.91,0.14705882352941177,0.0,0.49056603773584906,0.0,0.0
2023-03-29,Mar-2023,0.6,0.41,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,1.0,0.74,0.0136986301369863
2023-04-05,Apr-2023,0.0,0.48,0.8461538461538461,0.67,0.44,0.0,0.0,0.0,0.0,0.0,0.19117647058823528,0.0,0.7358490566037735,0.0,0.0273972602739726
