date,month,happy,great,pleasant,good,nice,wild,crazy,strange,weird,vivid,lucid,sad,bad,scary,nightmare,COVID
2020-01-05,Jan-2020,0.7,0.46,0.0,0.1774193548387097,0.0,0.5,0.0,0.0,0.67,0.0,0.3,0.0,0.2962962962962963,0.0,0.012345679012345678,0.0
2020-01-12,Jan-2020,0.0,0.35,0.0,0.3387096774193548,0.0,0.75,0.61,0.0,0.6,0.0,0.575,0.0,0.09259259259259259,0.0,0.012345679012345678,0.0
2020-01-19,Jan-2020,0.51,0.36,0.0,0.016129032258064516,0.0,0.0,0.0,1.0,0.71,0.76,0.1875,0.0,0.2962962962962963,0.0,0.037037037037037035,0.0
2020-01-26,Jan-2020,0.45,0.25,0.0,0.12903225806451613,0.0,0.0,0.62,0.0,0.59,0.0,0.1125,0.0,0.25925925925925924,0.63,0.024691358024691357,0.0
2020-02-02,Feb-2020,0.69,0.21,0.0,0.14516129032258066,0.0,0.67,0.0,0.0,0.65,0.54,0.225,0.0,0.24074074074074073,0.0,0.08641975308641975,0.0
2020-02-09,Feb-2020,0.64,0.21,0.0,0.45161290322580644,0.65,0.0,0.48,0.0,0.0,0.0,0.1125,0.0,0.2037037037037037,0.0,0.037037037037037035,0.0
2020-02-16,Feb-2020,0.0,0.23,0.0,0.25806451612903225,0.84,0.0,0.55,0.0,0.0,0.0,0.1625,0.0,0.3148148148148148,0.0,0.024691358024691357,0.0
2020-02-23,Feb-2020,0.44,0.37,0.0,0.24193548387096775,0.0,0.57,0.0,0.0,0.61,0.62,1.0,0.61,0.12962962962962962,0.0,0.037037037037037035,0.02
2020-03-01,Mar-2020,0.42,0.35,0.0,0.3225806451612903,0.49,0.0,0.66,0.0,0.58,0.0,0.275,0.0,0.4074074074074074,0.0,0.037037037037037035,0.05
2020-03-08,Mar-2020,0.43,0.32,0.0,0.25806451612903225,0.0,0.52,0.0,0.0,0.67,0.0,0.1375,0.0,0.14814814814814814,0.0,0.037037037037037035,0.16
